====================================================================================================
HADWIGER-NELSON UNIT SPHERE MAPPING OF PI DIGITS
====================================================================================================

UNIFIED MAPPING FORMULA:
  θ(i) = 2π × i / φ    where φ = (1+√5)/2 (golden ratio)
  φ(d) = π × d / 9     where d ∈ {0,1,2,...,9}
  Cartesian: (x,y,z) = (sin(φ)cos(θ), sin(φ)sin(θ), cos(φ))
  Color class: c(d) = d mod 7 (Hadwiger-Nelson chromatic constraint)

====================================================================================================

Index,Digit,X_Coord,Y_Coord,Z_Coord,Theta,Phi,ColorClass
0,3,0.86602540,0.00000000,0.50000000,0.00000000,1.04719755,3
1,1,-0.25219501,-0.23103129,0.93969262,3.88322208,0.34906585,1
2,4,0.08609753,0.98103696,0.17364818,7.76644415,1.39626340,4
3,1,0.20809835,-0.27142744,0.93969262,11.64966623,0.34906585,1
4,5,-0.96975347,0.17153574,-0.17364818,15.53288831,1.74532925,5
5,9,0.00000000,0.00000000,-1.00000000,19.41611039,3.14159265,2
6,2,-0.16687043,-0.62074968,0.76604444,23.29933246,0.69813170,2
7,6,-0.39915719,0.76855288,-0.50000000,27.18255454,2.09439510,6
8,5,0.92505090,-0.33782710,-0.17364818,31.06577662,1.74532925,5
9,3,-0.80050673,-0.33043754,0.50000000,34.94899870,1.04719755,3
10,5,0.41740682,0.89197413,-0.17364818,38.83222077,1.74532925,5
11,8,0.10236111,-0.32634335,-0.93969262,42.71544285,2.79252680,1
12,9,-0.00000000,0.00000000,-1.00000000,46.59866493,3.14159265,2
13,7,0.62779509,0.13801899,-0.76604444,50.48188701,2.44346095,0
14,9,-0.00000000,-0.00000000,-1.00000000,54.36510908,3.14159265,2
15,3,-0.11129352,0.85884443,0.50000000,58.24833116,1.04719755,3
16,2,0.49150690,-0.41424254,0.76604444,62.13155324,0.69813170,2
17,3,-0.86528586,-0.03578229,0.50000000,66.01477532,1.04719755,3
18,8,0.24243394,0.24125415,-0.93969262,69.89799739,2.79252680,1
19,4,-0.04548969,-0.98375657,0.17364818,73.78121947,1.39626340,4
20,6,-0.55487040,0.66492018,-0.50000000,77.66444155,2.09439510,6
21,2,0.63704714,-0.08571379,0.76604444,81.54766363,0.69813170,2
22,6,-0.71088417,-0.49461469,-0.50000000,85.43088570,2.09439510,6
23,4,0.21614695,0.96079488,0.17364818,89.31410778,1.39626340,4
24,3,0.43057127,-0.75140427,0.50000000,93.19732986,1.04719755,3
25,3,-0.82505615,0.26321541,0.50000000,97.08055194,1.04719755,3
26,8,0.31048285,0.14345095,-0.93969262,100.96377401,2.79252680,1
27,3,-0.33433870,-0.79888524,0.50000000,104.84699609,1.04719755,3
28,2,-0.21755293,0.60485257,0.76604444,108.73021817,0.69813170,2
29,7,0.56898880,-0.29904457,-0.76604444,112.61344025,2.44346095,0
30,9,-0.00000000,-0.00000000,-1.00000000,116.49666232,3.14159265,2
31,5,0.53262120,0.82834834,-0.17364818,120.37988440,1.74532925,5
32,0,0.00000000,-0.00000000,1.00000000,124.26310648,0.00000000,0
33,2,-0.50820278,0.39358080,0.76604444,128.14632856,0.69813170,2
34,8,0.34085238,0.02823892,-0.93969262,132.02955063,2.79252680,1
35,8,-0.23225882,-0.25106497,-0.93969262,135.91277271,2.79252680,1
36,4,0.00480417,0.98479603,0.17364818,139.79599479,1.39626340,4
37,1,0.22979826,-0.25331904,0.93969262,143.67921687,0.34906585,1
38,9,-0.00000000,0.00000000,-1.00000000,147.56243894,3.14159265,2
39,7,0.51201854,0.38860382,-0.76604444,151.44566102,2.44346095,0
40,1,-0.06121599,-0.33649722,0.93969262,155.32888310,0.34906585,1
41,6,-0.46124997,0.73297235,-0.50000000,159.21210518,2.09439510,6
42,9,0.00000000,-0.00000000,-1.00000000,163.09532725,3.14159265,2
43,3,-0.77049094,-0.39540323,0.50000000,166.97854933,1.04719755,3
44,9,0.00000000,0.00000000,-1.00000000,170.86177141,3.14159265,2
45,9,0.00000000,-0.00000000,-1.00000000,174.74499349,3.14159265,2
46,3,-0.78258893,0.37088350,0.50000000,178.62821556,1.04719755,3
47,7,0.61425604,0.18938170,-0.76604444,182.51143764,2.44346095,0
48,5,-0.49794082,-0.84964772,-0.17364818,186.39465972,1.74532925,5
49,1,-0.07180794,0.33439707,0.93969262,190.27788180,0.34906585,1
50,0,0.00000000,-0.00000000,1.00000000,194.16110387,0.00000000,0
51,5,-0.97724761,-0.12179249,-0.17364818,198.04432595,1.74532925,5
52,8,0.22168702,0.26044701,-0.93969262,201.92754803,2.79252680,1
53,2,0.02342525,-0.64236062,0.76604444,205.81077010,0.69813170,2
54,0,-0.00000000,0.00000000,1.00000000,209.69399218,0.00000000,0
55,9,0.00000000,-0.00000000,-1.00000000,213.57721426,3.14159265,2
56,7,-0.49552504,-0.40942746,-0.76604444,217.46043634,2.44346095,0
57,4,0.13608085,0.97536061,0.17364818,221.34365841,1.39626340,4
58,9,0.00000000,-0.00000000,-1.00000000,225.22688049,3.14159265,2
59,4,-0.95972902,0.22083141,0.17364818,229.11010257,1.39626340,4
60,4,0.85684379,0.48545344,0.17364818,232.99332465,1.39626340,4
61,5,-0.30389086,-0.93674792,-0.17364818,236.87654672,1.74532925,5
62,9,-0.00000000,0.00000000,-1.00000000,240.75976880,3.14159265,2
63,2,0.59173673,-0.25104492,0.76604444,244.64299088,0.69813170,2
64,3,-0.81633583,-0.28912940,0.50000000,248.52621296,1.04719755,3
65,0,0.00000000,0.00000000,1.00000000,252.40943503,0.00000000,0
66,7,0.16080618,-0.62234820,-0.76604444,256.29265711,2.44346095,0
67,8,-0.28677656,0.18637859,-0.93969262,260.17587919,2.79252680,1
68,1,0.33735705,0.05628501,0.93969262,264.05910127,0.34906585,1
69,6,-0.53360382,-0.68210480,-0.50000000,267.94232334,2.09439510,6
70,4,-0.07652201,0.98183028,0.17364818,271.82554542,1.39626340,4
71,0,0.00000000,-0.00000000,1.00000000,275.70876750,0.00000000,0
72,6,-0.86598419,0.00844932,-0.50000000,279.59198958,2.09439510,6
73,2,0.47818523,0.42955185,0.76604444,283.47521165,0.69813170,2
74,8,-0.03322406,-0.34040262,-0.93969262,287.35843373,2.79252680,1
75,6,-0.52019304,0.69238660,-0.50000000,291.24165581,2.09439510,6
76,2,0.63183915,-0.11813212,0.76604444,295.12487789,0.69813170,2
77,0,-0.00000000,-0.00000000,1.00000000,299.00809996,0.00000000,0
78,8,0.09200817,0.32941201,-0.93969262,302.89132204,2.79252680,1
79,9,0.00000000,-0.00000000,-1.00000000,306.77454412,3.14159265,2
80,9,-0.00000000,0.00000000,-1.00000000,310.65776620,3.14159265,2
81,8,0.31740297,0.12740932,-0.93969262,314.54098827,2.79252680,1
82,6,-0.37469677,-0.78077034,-0.50000000,318.42421035,2.09439510,6
83,2,-0.18638294,0.61517259,0.76604444,322.30743243,0.69813170,2
84,8,0.29423243,-0.17437045,-0.93969262,326.19065451,2.79252680,1
85,0,-0.00000000,-0.00000000,1.00000000,330.07387658,0.00000000,0
86,3,0.50496506,0.70356967,0.50000000,333.95709866,1.04719755,3
87,4,0.11702375,-0.97783012,0.17364818,337.84032074,1.39626340,4
88,8,-0.25936246,0.22295491,-0.93969262,341.72354282,2.79252680,1
89,2,0.64246725,0.02029136,0.76604444,345.60676489,0.69813170,2
90,5,-0.70480492,-0.68781999,-0.17364818,349.48998697,1.74532925,5
91,3,0.04844137,0.86466955,0.50000000,353.37320905,1.04719755,3
92,4,0.62356827,-0.76223941,0.17364818,357.25643113,1.39626340,4
93,2,-0.63618056,0.09192502,0.76604444,361.13965320,0.69813170,2
94,1,0.28264253,0.19259018,0.93969262,365.02287528,0.34906585,1
95,1,-0.07831901,-0.33293229,0.93969262,368.90609736,0.34906585,1
96,7,-0.31412521,0.56080412,-0.76604444,372.78931944,2.44346095,0
97,0,0.00000000,-0.00000000,1.00000000,376.67254151,0.00000000,0
98,6,-0.78967660,-0.35554306,-0.50000000,380.55576359,2.09439510,6
99,7,0.25392859,0.59050502,-0.76604444,384.43898567,2.44346095,0
100,9,0.00000000,-0.00000000,-1.00000000,388.32220775,3.14159265,2
101,8,-0.30118578,0.16206451,-0.93969262,392.20542982,2.79252680,1
102,2,0.62312525,0.15776828,0.76604444,396.08865190,0.69813170,2
103,1,-0.18777535,-0.28586395,0.93969262,399.97187398,0.34906585,1
104,4,-0.15732564,0.97215994,0.17364818,403.85509605,1.39626340,4
105,8,0.26835299,-0.21204823,-0.93969262,407.73831813,2.79252680,1
106,0,-0.00000000,-0.00000000,1.00000000,411.62154021,0.00000000,0
107,8,0.23469726,0.24878701,-0.93969262,415.50476229,2.79252680,1
108,6,-0.01267373,-0.86593266,-0.50000000,419.38798436,2.09439510,6
109,5,-0.65452985,0.73582402,-0.17364818,423.27120644,1.74532925,5
110,1,0.34023649,-0.03488424,0.93969262,427.15442852,0.34906585,1
111,3,-0.69491600,-0.51680920,0.50000000,431.03765060,1.04719755,3
112,2,0.12121300,0.63125535,0.76604444,434.92087267,0.69813170,2
113,8,0.17932894,-0.29123686,-0.93969262,438.80409475,2.79252680,1
114,2,-0.61824117,0.17593684,0.76604444,442.68731683,0.69813170,2
115,3,0.77431199,0.38786716,0.50000000,446.57053891,1.04719755,3
116,0,-0.00000000,-0.00000000,1.00000000,450.45376098,0.00000000,0
117,6,-0.31868725,0.80525675,-0.50000000,454.33698306,2.09439510,6
118,6,0.77893318,-0.37850113,-0.50000000,458.22020514,2.09439510,6
119,4,-0.94388089,-0.28095406,0.17364818,462.10342722,1.39626340,4
120,7,0.33040293,0.55137085,-0.76604444,465.98664929,2.44346095,0
121,0,0.00000000,-0.00000000,1.00000000,469.86987137,0.00000000,0
122,9,-0.00000000,0.00000000,-1.00000000,473.75309345,3.14159265,2
123,3,0.86038117,0.09871296,0.50000000,477.63631553,1.04719755,3
124,8,-0.22421750,-0.25827174,-0.93969262,481.51953760,2.79252680,1
125,4,-0.02628603,0.98445688,0.17364818,485.40275968,1.39626340,4
126,4,0.68437357,-0.70815191,0.17364818,489.28598176,1.39626340,4
127,6,-0.86442295,0.05265889,-0.50000000,493.16920384,2.09439510,6
128,0,0.00000000,0.00000000,1.00000000,497.05242591,0.00000000,0
129,9,-0.00000000,-0.00000000,-1.00000000,500.93564799,3.14159265,2
130,5,-0.55056460,0.81653226,-0.17364818,504.81887007,1.74532925,5
131,5,0.95752882,-0.23018443,-0.17364818,508.70209215,1.74532925,5
132,0,-0.00000000,-0.00000000,1.00000000,512.58531422,0.00000000,0
133,5,0.31301572,0.93373844,-0.17364818,516.46853630,1.74532925,5
134,8,0.13889187,-0.31254892,-0.93969262,520.35175838,2.79252680,1
135,2,-0.58925926,0.25680622,0.76604444,524.23498046,0.69813170,2
136,2,0.60797155,0.20867800,0.76604444,528.11820253,0.69813170,2
137,3,-0.41407717,-0.76061824,0.50000000,532.00142461,1.04719755,3
138,1,-0.08232832,0.33196359,0.93969262,535.88464669,0.34906585,1
139,7,0.53552053,-0.35551887,-0.76604444,539.76786877,2.44346095,0
140,2,-0.63502572,-0.09959037,0.76604444,543.65109084,0.69813170,2
141,5,0.61433068,0.76970392,-0.17364818,547.53431292,1.74532925,5
142,3,0.05886534,-0.86402249,0.50000000,551.41753500,1.04719755,3
143,5,-0.71304845,0.67927036,-0.17364818,555.30075708,1.74532925,5
144,9,0.00000000,-0.00000000,-1.00000000,559.18397915,3.14159265,2
145,4,-0.73900824,-0.65093251,0.17364818,563.06720123,1.39626340,4
146,0,0.00000000,0.00000000,1.00000000,566.95042331,0.00000000,0
147,8,0.20276265,-0.27543617,-0.93969262,570.83364539,2.79252680,1
148,1,-0.33556533,0.06613386,0.93969262,574.71686746,0.34906585,1
149,2,0.54898386,0.33435405,0.76604444,578.60008954,0.69813170,2
150,8,-0.09521768,-0.32849866,-0.93969262,582.48331162,2.79252680,1
151,4,-0.43676562,0.88265628,0.17364818,586.36653370,1.39626340,4
152,8,0.31891638,-0.12357233,-0.93969262,590.24975577,2.79252680,1
153,1,-0.31863092,-0.12430653,0.93969262,594.13297785,0.34906585,1
154,1,0.15098067,0.30689186,0.93969262,598.01619993,0.34906585,1
155,1,0.09597403,-0.32827849,0.93969262,601.89942200,0.34906585,1
156,7,-0.54975250,0.33308873,-0.76604444,605.78264408,2.44346095,0
157,4,0.96578071,0.19264977,0.17364818,609.66586616,1.39626340,4
158,5,-0.58200359,-0.79442944,-0.17364818,613.54908824,1.74532925,5
159,0,-0.00000000,0.00000000,1.00000000,617.43231031,0.00000000,0
160,2,0.48333065,-0.42375393,0.76604444,621.31553239,0.69813170,2
161,8,-0.34193875,-0.00746106,-0.93969262,625.19875447,2.79252680,1
162,4,0.71148205,0.68091086,0.17364818,629.08197655,1.39626340,4
163,1,-0.02246175,-0.34128177,0.93969262,632.96519862,0.34906585,1
164,0,-0.00000000,0.00000000,1.00000000,636.84842070,0.00000000,0
165,2,0.63525342,-0.09812750,0.76604444,640.73164278,0.69813170,2
166,7,-0.53470028,-0.35675135,-0.76604444,644.61486486,2.44346095,0
167,0,0.00000000,0.00000000,1.00000000,648.49808693,0.00000000,0
168,1,0.16422328,-0.30001416,0.93969262,652.38130901,0.34906585,1
169,9,-0.00000000,0.00000000,-1.00000000,656.26453109,3.14159265,2
170,3,0.79310785,0.34782170,0.50000000,660.14775317,1.04719755,3
171,8,-0.13817164,-0.31286799,-0.93969262,664.03097524,2.79252680,1
172,5,-0.31516549,0.93301502,-0.17364818,667.91419732,1.74532925,5
173,2,0.56304554,-0.31008972,0.76604444,671.79741940,0.69813170,2
174,1,-0.33236126,-0.08070793,0.93969262,675.68064148,0.34906585,1
175,1,0.19055543,0.28401832,0.93969262,679.56386355,0.34906585,1
176,0,0.00000000,-0.00000000,1.00000000,683.44708563,0.00000000,0
177,5,-0.76669788,0.61807820,-0.17364818,687.33030771,1.74532925,5
178,5,0.98284499,0.06214535,-0.17364818,691.21352979,1.74532925,5
179,5,-0.68274073,-0.70972629,-0.17364818,695.09675186,1.74532925,5
180,9,0.00000000,0.00000000,-1.00000000,698.97997394,3.14159265,2
181,6,0.56924337,-0.65265763,-0.50000000,702.86319602,2.09439510,6
182,4,-0.97864531,0.10999849,0.17364818,706.74641810,1.39626340,4
183,4,0.79592551,0.57995594,0.17364818,710.62964017,1.39626340,4
184,6,-0.17159980,-0.84885423,-0.50000000,714.51286225,2.09439510,6
185,2,-0.33167198,0.55060840,0.76604444,718.39608433,0.69813170,2
186,2,0.61649522,-0.18196030,0.76604444,722.27930641,0.69813170,2
187,9,-0.00000000,-0.00000000,-1.00000000,726.16252848,3.14159265,2
188,4,0.36028774,0.91653645,0.17364818,730.04575056,1.39626340,4
189,8,0.12275068,-0.31923353,-0.93969262,733.92897264,2.79252680,1
